district,state,stCode,dtCode,lat,lon
Bilaspur,Himachal Pradesh,2,8,31.404626,76.640118
Birbhum,West Bengal,19,8,24.062449,87.697944
Bishnupur,Manipur,14,4,24.512292,93.80485
Bokaro,Jharkhand,20,10,23.694351,85.997363
Bongaigaon,Assam,18,20,26.358191,90.629652
Budaun,Uttar Pradesh,9,18,28.067158,79.04624
Bulandshahr,Uttar Pradesh,9,11,28.3907,77.988195
Buldana,Maharashtra,27,4,20.563052,76.410637
Bundi,Rajasthan,8,23,25.440448,75.750162
Burhanpur,Madhya Pradesh,23,50,21.334673,76.372494
Buxar,Bihar,10,30,25.506941,84.108715
Cachar,Assam,18,17,24.75552,92.882235
Central,NCT of Delhi,7,6,28.641762,77.220567
Chamba,Himachal Pradesh,2,1,32.695258,76.17201
Chamoli,Uttarakhand,5,2,30.500751,79.6194
Champawat,Uttarakhand,5,10,29.287628,80.062737
Champhai,Mizoram,15,4,23.54504,93.240382
Chamrajnagar,Karnataka,29,24,11.947521,77.101679
Chandauli,Uttar Pradesh,9,65,25.123262,83.247899
Chandel,Manipur,14,9,24.236518,94.092151
Chandigarh,Chandigarh,4,1,30.730184,76.780512
Chandrapur,Maharashtra,27,13,20.098372,79.505054
Changlang,Arunanchal Pradesh,12,9,27.268535,96.062183
Chatra,Jharkhand,20,2,24.103757,84.872501
Chennai,Tamil Nadu,33,2,13.066124,80.250409
Chhatarpur,Madhya Pradesh,23,8,24.764108,79.681671
Chhindwara,Madhya Pradesh,23,38,22.138796,78.812772
Chikkaballapura,Karnataka,29,28,13.588923,77.781757
Chikmagalur,Karnataka,29,16,13.4056,75.640023
Chirang,Assam,18,21,26.648083,90.642392
